id,value,category,score,panel
0,549.6714153011233,B,1.5966252220214194,0
1,486.1735698828815,B,23.0893825622149,1
2,564.7688538100692,C,24.102546602601173,2
3,652.3029856408025,B,68.32635188254582,3
4,476.5846625276664,C,60.99966577826209,4
5,476.586304305082,C,83.31949117361643,5
6,657.9212815507392,A,17.336465350777207,6
7,576.7434729152909,C,39.10606075732408,7
8,453.0525614065048,A,18.22360877880623,8
9,554.2560043585964,C,75.53614103176525,9
10,453.65823071875377,C,42.51558744912447,10
11,453.4270246429743,A,20.79416628681888,11
12,524.1962271566034,A,56.77003278199915,12
13,308.6719755342202,C,3.1313292455558583,13
14,327.5082167486967,B,84.22847745949986,14
15,443.7712470759027,A,44.975413336976565,15
16,398.7168879665576,B,39.51502360018144,16
17,531.4247332595273,B,92.66588657937942,17
18,409.1975924478789,B,72.72719958564208,18
19,358.76962986647084,A,32.65407688058354,19
